Time ,u_X0,u_X1,u_G3,u_G2,u_G1,Strain_X0,Strain_X1,Strain_G3,Strain_G2,Strain_G1
738000,3.09E-19,3.09E-19,3.39E-18,3.33E-18,3.34E-18,1.92E-18,1.91E-18,4.05E-20,4.54E-20,4.10E-20
741600,2.67E-18,2.67E-18,2.93E-17,2.88E-17,2.89E-17,-1.66E-17,-1.65E-17,-3.50E-19,-3.93E-19,-3.56E-19
745200,5.65E-18,5.65E-18,6.20E-17,6.10E-17,6.12E-17,-3.51E-17,-3.50E-17,-7.41E-19,-8.31E-19,-7.52E-19
748800,8.63E-18,8.64E-18,9.47E-17,9.31E-17,9.34E-17,-5.36E-17,-5.35E-17,-1.13E-18,-1.27E-18,-1.15E-18
752400,9.63E-18,9.63E-18,1.06E-16,1.04E-16,1.04E-16,-5.98E-17,-5.96E-17,-1.26E-18,-1.42E-18,-1.28E-18
756000,1.56E-17,1.56E-17,1.72E-16,1.69E-16,1.69E-16,9.70E-17,9.68E-17,2.05E-18,2.30E-18,2.08E-18
759600,1.33E-17,1.33E-17,1.46E-16,1.44E-16,1.44E-16,8.26E-17,8.24E-17,1.75E-18,1.96E-18,1.77E-18
763200,1.03E-17,1.03E-17,1.13E-16,1.11E-16,1.12E-16,6.41E-17,6.39E-17,1.35E-18,1.52E-18,1.37E-18
766800,7.35E-18,7.35E-18,8.06E-17,7.92E-17,7.95E-17,4.56E-17,4.55E-17,9.63E-19,1.08E-18,9.78E-19
770400,4.37E-18,4.37E-18,4.79E-17,4.71E-17,4.72E-17,2.71E-17,2.70E-17,5.72E-19,6.42E-19,5.81E-19
774000,8.50E-18,8.50E-18,9.33E-17,9.17E-17,9.20E-17,-5.28E-17,-5.26E-17,-1.11E-18,-1.25E-18,-1.13E-18
777600,1.05E-18,1.05E-18,1.15E-17,1.13E-17,1.13E-17,-6.50E-18,-6.47E-18,-1.37E-19,-1.54E-19,-1.39E-19
781200,6.72E-18,6.72E-18,7.37E-17,7.24E-17,7.27E-17,-4.17E-17,-4.17E-17,-8.81E-19,-9.88E-19,-8.94E-19
784800,7.01E-18,7.01E-18,7.69E-17,7.56E-17,7.58E-17,-4.35E-17,-4.34E-17,-9.19E-19,-1.03E-18,-9.33E-19
788400,1.21E-17,1.21E-17,1.33E-16,1.31E-16,1.31E-16,-7.52E-17,-7.50E-17,-1.59E-18,-1.78E-18,-1.61E-18
792000,1.10E-17,1.10E-17,1.20E-16,1.18E-16,1.19E-16,-6.82E-17,-6.80E-17,-1.44E-18,-1.61E-18,-1.46E-18
795600,1.49E-17,1.49E-17,1.64E-16,1.61E-16,1.62E-16,9.27E-17,9.25E-17,1.96E-18,2.20E-18,1.99E-18
799200,1.20E-17,1.20E-17,1.31E-16,1.29E-16,1.29E-16,7.42E-17,7.40E-17,1.57E-18,1.76E-18,1.59E-18
802800,8.97E-18,8.97E-18,9.85E-17,9.68E-17,9.71E-17,5.57E-17,5.56E-17,1.18E-18,1.32E-18,1.19E-18
806400,5.99E-18,5.99E-18,6.58E-17,6.46E-17,6.48E-17,3.72E-17,3.71E-17,7.86E-19,8.81E-19,7.98E-19
810000,6.87E-18,6.88E-18,7.54E-17,7.42E-17,7.44E-17,-4.27E-17,-4.26E-17,-9.01E-19,-1.01E-18,-9.15E-19
813600,5.80E-19,5.80E-19,6.36E-18,6.26E-18,6.27E-18,3.60E-18,3.59E-18,7.60E-20,8.53E-20,7.72E-20
817200,2.40E-18,2.40E-18,2.63E-17,2.59E-17,2.60E-17,-1.49E-17,-1.49E-17,-3.15E-19,-3.53E-19,-3.20E-19
820800,5.38E-18,5.38E-18,5.90E-17,5.80E-17,5.82E-17,-3.34E-17,-3.33E-17,-7.06E-19,-7.91E-19,-7.16E-19
824400,1.63E-17,1.63E-17,1.79E-16,1.76E-16,1.76E-16,1.01E-16,1.01E-16,2.14E-18,2.40E-18,2.17E-18
